Level,Word,Headword,Headword_flag,POS
1,bottles,bottle,0,noun/verb
1,bottling,bottle,0,verb
1,unbottled,bottle,0,adjective
1,bottom,bottom,1,noun/verb/adjective
1,bottomed,bottom,0,verb/adjective
1,bottoming,bottom,0,verb
1,bottomless,bottom,0,adjective
1,bottoms,bottom,0,noun/verb
1,box,box,1,noun/verb
1,boxes,box,0,noun/verb
1,boy,boy,1,noun
1,boys,boy,0,noun
1,boyhood,boy,0,noun
1,boyish,boy,0,adjective
1,boyishly,boy,0,adverb
1,boyishness,boy,0,noun
1,bread,bread,1,noun/verb
1,breads,bread,0,noun/verb
1,break,break,1,noun/verb
1,breakable,break,0,noun/adjective
1,breakage,break,0,noun
1,breakages,break,0,noun
1,breaker,break,0,noun
1,breakers,break,0,noun
1,breaking,break,0,noun/verb
1,breaks,break,0,noun/verb
1,broke,break,0,verb/adjective
1,broken,break,0,verb/adjective
1,brokenly,break,0,adverb
1,unbreakable,break,0,adjective
1,unbroken,break,0,adjective
1,breakfast,breakfast,1,noun/verb
1,breakfasted,breakfast,0,verb
1,breakfasting,breakfast,0,verb
1,breakfasts,breakfast,0,noun/verb
1,breath,breath,1,noun
1,breathless,breath,0,adjective
1,breathlessly,breath,0,adverb
1,breathlessness,breath,0,noun
1,breaths,breath,0,noun
1,breathy,breath,0,noun
1,bright,bright,1,adjective/adverb
1,brighten,bright,0,verb
1,brightened,bright,0,verb
1,brightening,bright,0,verb
1,brightens,bright,0,verb
1,brighter,bright,0,adjective
1,brightest,bright,0,adjective
1,brightly,bright,0,adverb
1,brightness,bright,0,noun
1,bring,bring,1,verb
1,bringer,bring,0,verb
1,bringers,bring,0,verb
1,bringing,bring,0,noun/verb
1,brings,bring,0,verb
1,brought,bring,0,verb
1,brother,brother,1,noun
1,bro,brother,0,noun
1,bros,brother,0,noun
1,brotherhood,brother,0,noun
1,brotherhoods,brother,0,noun
1,brotherly,brother,0,adjective/adverb
1,brothers,brother,0,noun
1,brotherliness,brother,0,noun
1,brown,brown,1,noun/verb/adjective
1,browned,brown,0,verb/adjective
1,browner,brown,0,adjective
1,brownest,brown,0,adjective
1,browning,brown,0,noun/verb
1,brownish,brown,0,adjective
1,browns,brown,0,noun/verb
1,browny,brown,0,noun/verb/adjective
1,build,build,1,noun/verb
1,builder,build,0,noun
1,builders,build,0,noun
1,building,build,0,noun/verb
1,buildings,build,0,noun
1,builds,build,0,noun/verb
1,built,build,0,verb/adjective
1,prebuilt,build,0,noun/verb
1,rebuild,build,0,verb
1,rebuilding,build,0,noun/verb
1,rebuilds,build,0,verb
1,rebuilt,build,0,verb
1,unbuilt,build,0,noun/verb
1,burn,burn,1,noun/verb
1,burnable,burn,0,adjective
1,burned,burn,0,verb/adjective
1,burner,burn,0,noun
1,burners,burn,0,noun
1,burning,burn,0,noun/verb/adjective
1,burnings,burn,0,noun
1,burns,burn,0,noun/verb
1,burnt,burn,0,verb/adjective
1,unburnable,burn,0,adjective
1,bus,bus,1,noun/verb
1,buses,bus,0,noun/verb
1,bussed,bus,0,verb
1,busses,bus,0,noun/verb
1,bussing,bus,0,verb
1,busing,bus,0,verb
1,business,business,1,noun
1,businesses,business,0,noun
1,businesslike,business,0,adjective
1,unbusinesslike,business,0,noun
1,busy,busy,1,verb/adjective
1,busied,busy,0,verb
1,busier,busy,0,adjective
1,busies,busy,0,verb
1,busiest,busy,0,adjective
1,busily,busy,0,adverb
1,busying,busy,0,verb
1,busyness,busy,0,noun
1,but,but,1,conjunction
1,buts,but,0,conjunction
1,buy,buy,1,noun/verb
1,bought,buy,0,verb
1,buyer,buy,0,noun
1,buyers,buy,0,noun
1,buying,buy,0,noun/verb
1,buys,buy,0,noun/verb
1,by,by,1,preposition
1,bys,by,0,preposition
1,cake,cake,1,noun/verb
1,cakes,cake,0,noun/verb
1,call,call,1,noun/verb
1,called,call,0,verb
1,caller,call,0,noun/adjective
1,callers,call,0,noun
1,calling,call,0,noun/verb
1,callin,call,0,noun/verb
1,calls,call,0,noun/verb
1,uncalled,call,0,adjective
1,camp,camp,1,noun/verb/adjective
1,camped,camp,0,verb
1,camper,camp,0,noun
1,campers,camp,0,noun
1,camping,camp,0,noun/verb
1,camps,camp,0,noun/verb
1,can,can,1,verb
1,cannot,can,0,verb
1,car,car,1,noun
1,cars,car,0,noun
1,card,card,1,noun/verb
1,carding,card,0,verb
1,cards,card,0,noun/verb
1,care,care,1,noun/verb
1,cared,care,0,verb
1,careful,care,0,adjective
1,carefully,care,0,adverb
1,carefulness,care,0,noun
1,careless,care,0,adjective
1,carelessly,care,0,adverb
1,carelessness,care,0,noun
1,carer,care,0,noun/verb
1,carers,care,0,noun/verb
1,cares,care,0,noun/verb
1,caring,care,0,noun/verb/adjective
1,uncared,care,0,adjective
1,uncaring,care,0,adjective
1,carry,carry,1,noun/verb
1,carried,carry,0,verb
1,carrier,carry,0,noun
1,carriers,carry,0,noun
1,carries,carry,0,noun/verb
1,carrying,carry,0,verb
1,case,case,1,noun/verb
1,cases,case,0,noun/verb
1,cat,cat,1,noun/verb
1,catlike,cat,0,noun/verb
1,cats,cat,0,noun/verb
1,catch,catch,1,noun/verb
1,catcher,catch,0,noun
1,catchers,catch,0,noun
1,catches,catch,0,noun/verb
1,catching,catch,0,noun/verb/adjective
1,catchy,catch,0,adjective
1,caught,catch,0,verb
1,uncaught,catch,0,noun/verb
1,cause,cause,1,noun/verb
1,causation,cause,0,noun
1,causative,cause,0,adjective
1,caused,cause,0,verb
1,causes,cause,0,noun/verb
1,causing,cause,0,noun/verb
1,centre,centre,1,noun/verb
1,center,centre,0,noun/verb/adjective
1,centered,centre,0,verb/adjective
1,centering,centre,0,noun/verb
1,centerist,centre,0,noun
1,centerists,centre,0,noun/verb
1,centers,centre,0,noun/verb
1,central,centre,0,noun/adjective
1,centralisation,centre,0,noun
1,centralise,centre,0,verb
1,centralised,centre,0,verb/adjective
1,centralises,centre,0,verb
1,centralising,centre,0,verb/adjective
1,centralism,centre,0,noun
1,centralist,centre,0,adjective
1,centralists,centre,0,noun/verb
1,centralities,centre,0,noun
1,centrality,centre,0,noun
1,centralization,centre,0,noun
1,centralize,centre,0,verb
1,centralized,centre,0,verb/adjective
1,centralizes,centre,0,verb
1,centralizing,centre,0,verb/adjective
1,centrally,centre,0,adverb
1,centred,centre,0,verb
1,centredness,centre,0,noun
1,centres,centre,0,noun/verb
1,centric,centre,0,adjective
1,centring,centre,0,verb
1,centrist,centre,0,noun/adjective
1,centrists,centre,0,noun
1,certain,certain,1,adjective
1,cert,certain,0,noun
1,certainly,certain,0,adverb
1,certainties,certain,0,noun
1,certainty,certain,0,noun
1,uncertain,certain,0,adjective
1,uncertainly,certain,0,adverb
1,uncertainties,certain,0,noun
1,uncertainty,certain,0,noun
1,chair,chair,1,noun/verb
1,chairs,chair,0,noun/verb
1,chance,chance,1,noun/verb/adjective
1,chanced,chance,0,verb
1,chances,chance,0,noun/verb
1,chancing,chance,0,verb
1,mischance,chance,0,noun
1,change,change,1,noun/verb
1,changeable,change,0,adjective
1,changed,change,0,verb/adjective
1,changer,change,0,noun
1,changers,change,0,noun
1,changes,change,0,noun/verb
1,changing,change,0,verb/adjective
1,unchangeable,change,0,adjective
1,unchangeably,change,0,adverb
1,unchanged,change,0,adjective
1,unchanging,change,0,adjective
1,charge,charge,1,noun/verb
1,chargeable,charge,0,adjective
1,charged,charge,0,verb/adjective
1,chargee,charge,0,noun/verb
1,chargees,charge,0,verb
1,charger,charge,0,noun
1,chargers,charge,0,noun
1,charges,charge,0,noun/verb
1,charging,charge,0,verb
1,uncharged,charge,0,adjective
1,cheap,cheap,1,adjective
1,cheapen,cheap,0,verb
1,cheapened,cheap,0,verb
1,cheapening,cheap,0,verb
1,cheapens,cheap,0,verb
1,cheaper,cheap,0,adjective
1,cheapest,cheap,0,adjective
1,cheaply,cheap,0,adverb
1,cheapness,cheap,0,noun
1,check,check,1,noun/verb
1,checked,check,0,verb/adjective
1,checker,check,0,noun/verb
1,checkers,check,0,noun/verb
1,checking,check,0,verb
1,checks,check,0,noun/verb
1,unchecked,check,0,adjective
1,chicken,chicken,1,noun/adjective
1,chick,chicken,0,noun
1,chickened,chicken,0,adjective
1,chickening,chicken,0,verb
1,chickens,chicken,0,noun
1,chicks,chicken,0,noun
1,child,child,1,noun
1,childhood,child,0,noun
1,childhoods,child,0,noun
1,childish,child,0,adjective
1,childishly,child,0,adverb
1,childishness,child,0,noun
1,childless,child,0,adjective
1,childlessness,child,0,noun
1,childlike,child,0,adjective
1,children,child,0,noun
1,childrens,child,0,noun
1,chip,chip,1,noun/verb
1,chipped,chip,0,verb
1,chipping,chip,0,noun/verb
1,chippings,chip,0,noun
1,chips,chip,0,noun/verb
1,choice,choice,1,noun/adjective
1,choices,choice,0,noun
1,choicest,choice,0,adjective
1,choose,choose,1,verb
1,chooses,choose,0,verb
1,choosing,choose,0,verb
1,choosy,choose,0,adjective
1,chose,choose,0,verb
1,chosen,choose,0,noun/verb
1,unchosen,choose,0,verb
1,christmas,christmas,1,noun
1,christmases,christmas,0,noun
1,christmassy,christmas,0,noun
1,church,church,1,noun/verb
1,churches,church,0,noun/verb
1,city,city,1,noun
1,cities,city,0,noun
1,class,class,1,noun/verb
1,classed,class,0,verb
1,classes,class,0,noun/verb
1,classier,class,0,adjective
1,classiest,class,0,adjective
1,classiness,class,0,noun
1,classing,class,0,verb
1,classless,class,0,adjective
1,classlessness,class,0,noun
1,classy,class,0,adjective
1,subclass,class,0,noun
1,subclasses,class,0,noun
1,clean,clean,1,noun/verb/adjective/adverb
1,cleaned,clean,0,verb
1,cleaner,clean,0,noun/adjective
